,ell,a0_best,a1_best,target_best
0,0,-8.571496805478073,0.7169715749650721,2.8279450078105577
1,1,-8.650837747017938,0.3175781242412767,2.8006279735310278
2,2,-8.542801060315563,0.36570791292373334,2.7925007631021685
3,3,-8.571234498188918,0.8050337479324488,2.829706541652657
4,4,-8.621682147828826,0.7860070269965836,2.8020002224058755
5,5,-8.661535272551697,0.7426446297320444,2.787752860267727
6,6,-8.653589687698613,0.6912037591582101,2.771308214464197
7,7,-8.63373210859018,0.5565112848347009,2.7599172458078174
8,8,-8.627775191742124,0.7275303416941338,2.774226595596306
9,9,-8.601402317185617,0.6015724834861956,2.747694860203552
